Release 8.1i - Fit P.20131013
Copyright(c) 1995-2003 Xilinx Inc. All rights reserved

 4-26-2019  1:58PM

NOTE: This file is designed to be imported into a spreadsheet program
such as Microsoft Excel for viewing, printing and sorting. The comma ','
character is used as the data field separator.
This file is also designed to support parsing.

Input file:  cpld_toplevel.ngd
output file: cpld_toplevel_pad.csv
Part type:   xc2c64a
Speed grade: -5
Package:     vq44

Pinout by Pin Number:

-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,{blank},Slew Rate,Termination,{blank},Voltage,Constraint,
P1,clk4mhz,GCK,I/O/GCK2,,LVCMOS33,1,,FAST,,,,
P2,TIE,,I/O,,,1,,,,,,,
P3,TIE,,I/O,,,1,,,,,,,
P4,GND,,GND,,,,,,,,,,
P5,TIE,,I/O,,,1,,,,,,,
P6,TIE,,I/O,,,1,,,,,,,
P7,,VCCIO-3.3,VCCIO,,,1,,,,,,,
P8,TIE,,I/O,,,1,,,,,,,
P9,TDI,,TDI,,,,,,,,,,
P10,TMS,,TMS,,,,,,,,,,
P11,TCK,,TCK,,,,,,,,,,
P12,TIE,,I/O,,,1,,,,,,,
P13,TIE,,I/O,,,1,,,,,,,
P14,TIE,,I/O,,,1,,,,,,,
P15,,VCC,VCC,,,,,,,,,,
P16,TIE,,I/O,,,1,,,,,,,
P17,GND,,GND,,,,,,,,,,
P18,TIE,,I/O,,,2,,,,,,,
P19,led<1>,O,I/O,OUTPUT,LVCMOS33,2,,FAST,,,,
P20,led<0>,O,I/O,OUTPUT,LVCMOS33,2,,FAST,,,,
P21,TIE,,I/O,,,2,,,,,,,
P22,TIE,,I/O,,,2,,,,,,,
P23,TIE,,I/O,,,2,,,,,,,
P24,TDO,,TDO,,,,,,,,,,
P25,GND,,GND,,,,,,,,,,
P26,,VCCIO-3.3,VCCIO,,,2,,,,,,,
P27,io<27>,I,I/O,INPUT,LVCMOS33,2,,FAST,,,,
P28,io<28>,I,I/O,INPUT,LVCMOS33,2,,FAST,,,,
P29,io<29>,O,I/O,OUTPUT,LVCMOS33,2,,FAST,,,,
P30,io<30>,O,I/O/GSR,OUTPUT,LVCMOS33,2,,FAST,,,,
P31,io<31>,I,I/O/GTS2,INPUT,LVCMOS33,2,,FAST,,,,
P32,io<32>,O,I/O/GTS3,OUTPUT,LVCMOS33,2,,FAST,,,,
P33,io<33>,O,I/O/GTS0,OUTPUT,LVCMOS33,2,,FAST,,,,
P34,TIE,,I/O/GTS1,,,2,,,,,,,
P35,,VCCAUX,VAUX,,,,,,,,,,
P36,TIE,,I/O,,,2,,,,,,,
P37,gate_w,O,I/O,OUTPUT,LVCMOS33,2,,FAST,,,,
P38,gate_b,O,I/O,OUTPUT,LVCMOS33,2,,FAST,,,,
P39,csync,I,I/O,INPUT,LVCMOS33,1,,FAST,,,,
P40,TIE,,I/O,,,1,,,,,,,
P41,TIE,,I/O,,,1,,,,,,,
P42,vsync,I,I/O,INPUT,LVCMOS33,1,,FAST,,,,
P43,TIE,,I/O/GCK0,,,1,,,,,,,
P44,TIE,,I/O/GCK1,,,1,,,,,,,

To preserve the pinout above for future design iterations in
Project Navigator simply execute the (Lock Pins) process
located under the (Implement Design) process in a toolbox named
(Optional Implementation Tools) or invoke PIN2UCF from the
command line. The location constraints will be written into your
specified UCF file


